employee_id,first_name,last_name,email,hire_date,job_title,department_id,manager_id,employment_status,location,salary
1,Danielle,Johnson,danielle.johnson@horizontech.com,2017-09-02,CEO,,,Active,"San Francisco, CA",395696
2,Joshua,Walker,joshua.walker@horizontech.com,2015-06-26,CTO,,1.0,Active,"San Francisco, CA",369238
3,Jill,Rhodes,jill.rhodes@horizontech.com,2015-06-22,CFO,,1.0,Active,"San Francisco, CA",401987
4,Patricia,Miller,patricia.miller@horizontech.com,2015-10-30,COO,,1.0,Active,"San Francisco, CA",438459
5,Robert,Johnson,robert.johnson@horizontech.com,2016-07-12,CHRO,,1.0,Active,"San Francisco, CA",365243
6,Jeffery,Wagner,jeffery.wagner@horizontech.com,2016-08-10,CMO,,1.0,Active,"San Francisco, CA",365244
7,Anthony,Gonzalez,anthony.gonzalez@horizontech.com,2020-02-19,VP of Engineering,1.0,1.0,Active,"Austin, TX",271584
8,Debra,Gardner,debra.gardner@horizontech.com,2020-09-04,VP of Product Management,2.0,1.0,Active,"San Francisco, CA",255348
9,Jeffrey,Lawrence,jeffrey.lawrence@horizontech.com,2017-06-14,VP of Sales & Marketing,3.0,1.0,Active,"San Francisco, CA",230610
10,Lisa,Smith,lisa.smith@horizontech.com,2020-06-13,VP of Customer Success,4.0,1.0,Active,"San Francisco, CA",250851
11,Linda,Wolfe,linda.wolfe@horizontech.com,2018-06-02,VP of Finance & Accounting,5.0,1.0,Active,Remote,230731
12,Matthew,Moore,matthew.moore@horizontech.com,2021-04-26,VP of Human Resources,6.0,1.0,Active,Remote,230685
13,Susan,Rogers,susan.rogers@horizontech.com,2020-12-11,VP of Operations,7.0,1.0,Active,"Boston, MA",244839
14,Christopher,Davis,christopher.davis@horizontech.com,2021-03-27,VP of Research & Development,8.0,1.0,Active,"San Francisco, CA",201734
15,Melanie,Munoz,melanie.munoz@horizontech.com,2023-01-03,Mid-level Frontend Developer,1.0,7.0,Active,"Austin, TX",61375
16,Lindsay,Blair,lindsay.blair@horizontech.com,2020-02-03,VP of Engineering,1.0,7.0,Active,"Austin, TX",228754
17,Amanda,Dudley,amanda.dudley@horizontech.com,2020-09-18,Senior Engineering Specialist,1.0,7.0,Leave,"Austin, TX",83247
